NormalisedPO,after,BinDeliveryID,BinDeliveryNo,HarvestDate,RPIN,ProductionSite,MaturityCode,Storage type,PickNo,BinQty,InputKgs,StorageDays,Owner,Orchard,Grow System,RootStock,Latitude,Longitude,Hectares,Ethrel,Harvista,OrchardAge,RAPFactor,RAPPO,CRAPPO,FinalPackout,EffExportKgs,Prop53,Prop58,Prop63,Prop67,Prop72,WAMPA,NoApples,53,58,63,67,72,RTE53,RTE58,RTE63,RTE67,RTE72,TotalRTEs,Source
0.6027061229452573,96,14303,14848,2024-04-05,R2668,A,D,Smartfreshed,3rd Pick,18,7560,94,ROLP 1,Te Aute Road South,Spindle,M9,-39.6866487,176.8090255,2.48,0,1,13,0.9888433920926335,0.595981967048188,0.6063794129396575,0.6063794129396575,4584.228361823811,0.21082940298866618,0.29708743412662125,0.4420569940082297,0.04432616647014943,0.0057000024063334695,74.629411711625,61426.564362287834,12950.525892146023,18249.060393605847,27154.042394246007,2722.804117612119,350.1315646778384,2590.1051784292044,3649.812078721169,5430.8084788492015,544.5608235224238,87.5328911694596,12302.819450691459,ProdSite
0.5710392806116593,93,14105,19147,2024-04-02,R1232,C,D,Smartfreshed,3rd Pick,6,2520,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,3.657,0,1,13,0.9888433920926335,0.5646684192581704,0.5745195719112233,0.5745195719112233,1447.7893212162826,0.03649773182949982,0.16084197327876318,0.5996605137243537,0.16730049266910735,0.03569928849827595,88.12925378077703,16428.022014320948,599.5855419678054,2642.315477850343,9851.236120582691,2748.416176574836,586.468697345272,119.91710839356108,528.4630955700686,1970.2472241165383,549.6832353149672,146.617174336318,3314.927837731453,ProdSite
0.6061696164268348,93,14106,19148,2024-04-02,R1232,C,X (Pressure),Smartfreshed,3rd Pick,3,1260,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,3.657,0,1,13,0.9888433920926335,0.5994068196910018,0.6098640152427107,0.6098640152427107,768.4286592058155,0.03649773182949982,0.16084197327876318,0.5996605137243537,0.16730049266910735,0.03569928849827595,88.12925378077703,8719.33695384843,318.23602187260786,1402.4353613394214,5228.642077080491,1458.749368126796,311.2741254291137,63.64720437452157,280.4870722678843,1045.7284154160982,291.7498736253592,77.81853135727843,1759.4310970411416,ProdSite
0.5040420608146445,93,14107,19146,2024-04-02,R1232,C,I,Smartfreshed,3rd Pick,6,2520,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,3.657,0,1,13,0.9888433920926335,0.49841866117331457,0.507114026716865,0.507114026716865,1277.9273473264998,0.03649773182949982,0.16084197327876318,0.5996605137243537,0.16730049266910735,0.03569928849827595,88.12925378077703,14500.603290087593,529.2391302475797,2332.305646910214,8695.439218246978,2425.9580744309333,517.6612202518864,105.84782604951594,466.46112938204277,1739.0878436493956,485.19161488618664,129.4153050629716,2926.0037190301127,ProdSite
0.5712983592692255,93,14084,19142,2024-04-02,R1232,C,D,Smartfreshed,3rd Pick,8,3360,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,3.657,0,1,13,0.9888433920926335,0.5649246074767369,0.5747802295655913,0.5747802295655913,1931.2615713403866,0.03649773182949982,0.16084197327876318,0.5996605137243537,0.16730049266910735,0.03569928849827595,88.12925378077703,21913.967139043652,799.8100959612866,3524.6857170097537,13140.940792337522,3666.217498696632,782.3130350384582,159.96201919225732,704.9371434019507,2628.1881584675043,733.2434997393264,195.57825875961456,4421.9090795606535,ProdSite
0.506114690075173,93,14086,19143,2024-04-02,R1232,C,I,Smartfreshed,3rd Pick,22,9240,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,3.657,0,1,13,0.9888433920926335,0.5004681669218459,0.5091992879518084,0.5091992879518084,4705.001420674709,0.03649773182949982,0.16084197327876318,0.5996605137243537,0.16730049266910735,0.03569928849827595,88.12925378077703,53387.51003586706,1948.5230243338065,8586.952462608631,32014.38169457213,8931.756731377473,1905.896122975021,389.7046048667613,1717.3904925217262,6402.876338914426,1786.3513462754945,476.47403074375524,10772.796813322164,ProdSite
0.5712605585486991,82,13280,14869,2024-03-22,R1232,B,I,CA Smartfresh,2nd Pick,12,5040,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,5.534,0,1,13,0.9888433920926335,0.5648872284840281,0.5747421984624569,0.5747421984624569,2896.7006802507826,0.06431796093676521,0.19213405649434115,0.5657757782863592,0.14709377057403517,0.030678433708499233,86.02158181020158,33674.11548699577,2165.8504444727146,6469.944407375413,19051.99889775977,4953.25261772772,1033.069119660147,433.1700888945429,1293.9888814750825,3810.3997795519545,990.6505235455439,258.26727991503674,6786.476553382161,ProdSite
0.6414812347092858,82,13142,14855,2024-03-22,R1232,C,D,CA Smartfresh,2nd Pick,11,4620,94,ROLP 1,Raukawa,Spindle,MM106,-39.6581759,176.748468,3.657,0,1,13,0.9888433920926335,0.6343244800937009,0.645390845896805,0.645390845896805,2981.7057080432387,0.03649773182949982,0.16084197327876318,0.5996605137243537,0.16730049266910735,0.03569928849827595,88.12925378077703,33833.3252595135,1234.8396322219662,5441.818797322373,20288.509206123017,5660.331984550762,1207.8256392953795,246.96792644439324,1088.3637594644747,4057.7018412246034,1132.0663969101524,301.95640982384487,6827.056333867468,ProdSite
0.6503918582273489,82,13163,14839,2024-03-22,R2668,A,C,CA Smartfresh,2nd Pick,12,5040,94,ROLP 1,Te Aute Road South,Spindle,M9,-39.6866487,176.8090255,2.48,0,1,13,0.9888433920926335,0.6431356912789629,0.6543557766517896,0.6543557766517896,3297.953114325019,0.21082940298866618,0.29708743412662125,0.4420569940082297,0.04432616647014943,0.0057000024063334695,74.629411711625,44191.06406826061,9316.775654945282,13128.609835364674,19534.968944040374,1958.820462382759,251.889171527522,1863.3551309890565,2625.7219670729346,3906.993788808075,391.7640924765518,62.9722928818805,8850.807272228498,ProdSite
0.7126877251017322,64,11285,15015,2024-03-04,R2534,B,B,CA Smartfresh,2nd Pick,1,420,94,ROLP 1,Stock Road South,Spindle,M9,-39.6892445,176.8124229,3.16638,0,0,18,0.9888433920926335,0.7047365475923791,0.7170313157673704,0.7170313157673704,301.1531526222956,0.2482001425321553,0.34341909121746733,0.3802670766281498,0.0257335893517899,0.0023801002704376484,69.95864924330364,4304.7308071220605,1068.4347998902554,1478.3267417176926,1636.9473996954416,110.77617486047819,10.245690958192492,213.68695997805108,295.66534834353854,327.38947993908835,22.155234972095638,2.561422739548123,861.4584459723217,ProdSite
