GraderBatchID,GraderBatchNo,FarmCode,Orchard,ProductionSite,Owner,Bins,InputKgs,ExportKgs,PackOut,NormExportKgs,NormSFPackOut,RAPPO,CRAPPO,FinalPackOut,Packing site,PackoutDiff,53,58,63,67,72,BulkKgs,53A,58A,63A,67A,72A,BulkKgsA,Prop53,Prop58,Prop63s,m53,m58,m63s,mpa53,mpa58,mpa63s,WAAppleMass,BulkRTEs,53b,58b,63b,67b,72b,BulkARTEs,53Ab,58Ab,63Ab,67Ab,72Ab,UnadjustedRTEs,AdjustedRTEs
5000,11,R1230,Home Block,F,ROLP 1,20,8753.39,7507.389999999999,0.8576551484624814,0,NA,NA,NA,0.8576551484624814,Te Ipu,0,4857.6,7030,8688,393,48,0,4857.6,7030,8688,393,48,0,0.32731185231326804,0.49305170168186196,0.17963644600487003,1587557.1,2897432.1,1194377.3,54.93277162629758,66.55561400284834,75.3027740999937,64.32262868792118,0,4857.6,7030,8688,393,48,0,4857.6,7030,8688,393,48,21016.6,21016.6
5001,12,R1230,Home Block,D,ROLP 1,25,10485.24,8265.24,0.7882738020302826,0,NA,NA,NA,0.7882738020302826,Te Ipu,0,8198.4,8284,7712,150,12,0,8198.4,8284,7712,150,12,0,0.4036356969594404,0.47633553336718,0.1200287696733796,3167736.7,4511355.3,1290760.8,55.339378428426684,66.78344534580768,75.82897426859358,63.24993512720709,0,8198.4,8284,7712,150,12,0,8198.4,8284,7712,150,12,24356.4,24356.4
5002,13,R2919,Valley,A,Rockit Orchards Limited,53,23176.03,18351.03,0.7918107631030854,0,NA,NA,NA,0.7918107631030854,Te Ipu,0,4473.6,12274,26592,2745,996,0,4473.6,12274,26592,2745,996,0,0.1752541428770366,0.5581142155435429,0.26663164157942043,1505287.3,5733723.5,3065266,54.36801748112833,65.02884702626685,72.76941338461174,65.22437239685533,0,4473.6,12274,26592,2745,996,0,4473.6,12274,26592,2745,996,47080.6,47080.6
5003,14,R2919,Valley,B,Rockit Orchards Limited,28,12210.97,10385.97,0.8505442237594556,0,NA,NA,NA,0.8505442237594556,Te Ipu,0,4953.6,9310,13312,843,180,0,4953.6,9310,13312,843,180,0,0.2780187538577311,0.5176081644386948,0.20437308170357404,1764005.9000000001,3954934.3000000003,1760374.2,53.64818284115447,64.60516359834686,72.83001117041083,63.23985490703396,0,4953.6,9310,13312,843,180,0,4953.6,9310,13312,843,180,28598.6,28598.6
5004,15,R2886,Sim 2,A,Rakete,13,5789.2,4969.2,0.858356940509915,0,NA,NA,NA,0.858356940509915,Te Ipu,0,1228.8,3743,7392,480,96,0,1228.8,3743,7392,480,96,0,0.17518681058000238,0.5460562210888388,0.2787569683311588,410216.7,1529969.9000000001,878043.9,55.54728503723764,66.46552413223858,74.72078121010978,66.8540030838572,0,1228.8,3743,7392,480,96,0,1228.8,3743,7392,480,96,12939.8,12939.8
5005,16,R1230,Home Block,E,ROLP 1,28,11971.75,10325.75,0.8625096581535698,0,NA,NA,NA,0.8625096581535698,Te Ipu,0,6028.799999999999,10374,11824,495,60,0,6028.799999999999,10374,11824,495,60,0,0.420997390422924,0.4306521067122923,0.14835050286478366,3197403.8000000003,3944721.9,1539178.3,54.59861002014959,65.84962690927301,74.58704690831557,62.40917880994659,0,6028.799999999999,10374,11824,495,60,0,6028.799999999999,10374,11824,495,60,28781.8,28781.8
5006,17,R1936,Wharerangi,B,ROLP 1,25,11025.7,9408.7,0.8533426449114342,0,NA,NA,NA,0.8533426449114342,Te Ipu,0,3552,7695,12400,978,276,0,3552,7695,12400,978,276,0,0.2509671124375825,0.5313551053205533,0.2176777822418642,1197367.5,3027912.8000000003,1392561.9000000001,54.766843525591185,65.41322560435525,73.4357380161367,64.48765654594501,0,3552,7695,12400,978,276,0,3552,7695,12400,978,276,24901,24901
5007,18,R1936,Wharerangi,D,ROLP 1,22,9501.71,7797.709999999999,0.820663859452667,0,NA,NA,NA,0.820663859452667,Te Ipu,0,1708.8,4332,11152,1395,756,0,1708.8,4332,11152,1395,756,0,0.17968924243550666,0.538342874135752,0.28196788342874135,541447.6,1932355.7,1134239.1,56.00409598676045,66.71347143103746,74.7636345659482,67.05899933090477,0,1708.8,4332,11152,1395,756,0,1708.8,4332,11152,1395,756,19343.8,19343.8
5008,20,R1580,Pioneer,B,Pioneer Capital Molly Limited,48,21085.65,18115.65,0.8591459120302196,0,NA,NA,NA,0.8591459120302196,Te Ipu,0,3801.6,10260,26848,3717,1068,0,3801.6,10260,26848,3717,1068,0,0.2554035217022095,0.480797269799561,0.2637992084982295,1722759.7,3915693.2,2408634.8000000003,54.03719143063267,65.24415489202879,73.14630872483222,64.46643888292503,0,3801.6,10260,26848,3717,1068,0,3801.6,10260,26848,3717,1068,45694.6,45694.6
5009,19,R1230,Home Block,C,ROLP 1,42,18270.66,14371.66,0.7865977474267487,0,NA,NA,NA,0.7865977474267487,Te Ipu,0,9446.4,13034,17152,579,96,0,9446.4,13034,17152,579,96,0,0.3320281466348882,0.4767847009420043,0.1911871524231075,3196342.7,5593348.7,2555038.3000000003,54.6289984618014,66.572426474964,75.83741355258081,64.37821870389287,0,9446.4,13034,17152,579,96,0,9446.4,13034,17152,579,96,40307.4,40307.4
