PlantingID,PlantingCode,RootStock,RowSpacing,TreeSpacing,YearPlanted,FirstSeason,Grow System,PIN,Orchard,Address1,TownCity,Latitude,Longitude,OrchardGroupID,Grower,OrchardGroup,PlantingSeasonID,QtyTrees,QtyRows,Hectares,ManagementArea,Subdivision
84,MANZ B1,M.9,3,1.4,2017,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2249,3906,44,1.64052,B1,B
85,MANZ B2,M.9/M.26,3,1.4,2018,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2481,5404,60,2.26968,B2,B
86,MANZ B3,M.9,3,1.4,2018,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2217,3041,48,1.27722,B3,B
87,MANZ C1,M.9,3,1.4,2017,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2560,4807,44,2.01894,C1,C
88,MANZ C2,M.9/M.26,3,1.4,2018,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2403,7245,60,3.0429,C2,C
89,MANZ C3,M.9,3,1.4,2018,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2531,7147,73,3.00174,C3,C
90,MANZ D1,M.9,3,1.4,2017,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2456,4840,43,2.0328,D1,D
91,MANZ D2,M.9,3,1.4,2018,2021,Spindle,R2879,IND - Manzana,266 Moteo Pa Road,Hastings,-39.52778,176.75776,9,Manzana Orchard Limited Partnership,Independent Sector,2299,7095,61,2.9799,D2,D
93,MANAHI A2,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2376,5091,50,2.228,A2,A
94,MANAHI B1,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2611,5439,50,2.36,B1,B
95,MANAHI B2,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2317,2498,50,1.092,B2,B
96,MANAHI C,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2273,6352,68,2.774,C,C
97,MANAHI D,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2504,6727,66,2.93,D,D
98,MANAHI E,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2238,4825,65,2.136,E,E
99,MANAHI F1,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2472,5423,57,2.413,F1,F
100,MANAHI F2,M.9,3,1.4,2018,2021,Spindle,R2880,Manahi,"188 Stock Road, Pakipaki",Hastings,-39.69614,176.8017,3,Rakete Orchards Limited Partnership,Havelock Sector,2400,4945,64,2.187,F2,F
101,SIM2 A1,M.9,3,1.4,2018,2021,Spindle,R2886,Sim 2,498 Puketitiri Road,Hastings,-39.49081,176.8147,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2579,3376,45,1.46832,A1,A
102,SIM2 B1,M.9,3,1.4,2018,2021,Spindle,R2886,Sim 2,498 Puketitiri Road,Hastings,-39.49081,176.8147,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2365,2795,34,1.21884,B1,B
103,LOBB A,CG202,3.5,1.4,2019,2021,Spindle,R2899,Lobb,"51 Stock Road, Paki Paki",Hastings,-39.69129,176.81352,3,Rakete Orchards Limited Partnership,Havelock Sector,2213,5464,71,2.808,A,A
104,LOBB B,CG202,3.5,1.4,2019,2021,Spindle,R2899,Lobb,"51 Stock Road, Paki Paki",Hastings,-39.69129,176.81352,3,Rakete Orchards Limited Partnership,Havelock Sector,2445,5311,70,2.731,B,B
105,SIM1 A1,M.9,3,1.4,2018,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2263,3466,31,1.519,A1,A
