BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Longlands,,R2329,R2329B,8/08/2024,P1404,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),27,11066.576,8927.856,495.992,0,0,2138.72,118.8177766,8927.856,663.12,79574.4
Pre-sized,Rockit Trading Company Ltd,Raukawa,,R1232,R1232A,12/06/2024,PE1155,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),20,7200,7200,400,0,0,0,0,7200,0,0
Orchard pick,Rockit Trading Company Ltd,Raukawa,B4,R1232,R1232B,23/08/2024,P1424,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),29,12722.632,9585.432,532.524,0,0,3137.2,174.2888871,9585.432,360.108,43212.96
Orchard pick,Rockit Trading Company Ltd,Waipatu,WPR3,R2873,R2873C,5/08/2024,P1392,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),110,44391.604,38870.964,2159.498,0,0,5520.64,306.7022192,38870.964,544.572,65348.64
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919E,25/06/2024,P1320,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),75,32371.776,28019.736,1556.652,0,0,4352.04,241.7799976,28019.736,10717.56,2000484
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919D,19/06/2024,PE1159,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),274,98640,98640,5480,0,0,0,0,98640,38520,7187400
Orchard pick,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,2/06/2024,P1256,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),28,12751.042,10760.242,597.791,0,0,1990.8,110.5999989,10760.242,4039.524,764106.48
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,A2,R2879,R2879A,24/08/2024,P1426,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),35,14812.228,12096.828,672.046,0,0,2715.4,150.855554,12096.828,261.972,31436.64
Orchard pick,Rockit Trading Company Ltd,Longacre Orchard,,R2219,R2219A,26/08/2024,P1427,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),61,25920.976,20272.536,1126.252,0,0,5648.44,313.8022191,20272.536,283.752,34050.24
Orchard pick,Rockit Trading Company Ltd,Sim1,B3,R2900,R2900B,11/04/2024,P1143,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),34,14409.364,12817.844,712.1021932,0,0,1591.52,88.41777689,12817.844,176.568,21188.16
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,23/08/2024,P1425,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),62,27948.96,21121.92,1173.44,0,0,6827.04,379.2799962,21121.92,621.18,74541.6
Orchard pick,Rockit Trading Company Ltd,Te Aute Road North,,R1233,R1233A,3/05/2024,P1199,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),52,20965.99,16740.87,930.0435359,0,0,4225.12,234.7288865,16740.87,5700.954,1098156.78
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,12/04/2024,PE1087,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),5,1800,1800,100,0,0,0,0,1800,0,0
Orchard pick,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,11/06/2024,P1291,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),104,43245.352,37941.552,2107.864,0,0,5303.8,294.6555526,37941.552,2601.288,312154.56
Orchard pick,Rockit Trading Company Ltd,Colaghty Orchard,B,R2929,R2929B,12/06/2024,P1290,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),27,11090.92,9908.64,550.48,0,0,1182.28,65.68222157,9908.64,349.992,41999.04
Pre-sized,Rockit Trading Company Ltd,Longacre Orchard,B1,R2219,R2219B,12/06/2024,PE1158,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),8,2880,2880,160,0,0,0,0,2880,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,10/04/2024,PE1088,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),35,12600,12600,700,0,0,0,0,12600,0,0
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR1,R2851,R2851A,11/04/2024,P1145,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),10,4320.56,3880.28,215.571,0,0,440.28,24.45999976,3880.28,0,0
Orchard pick,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,10/06/2024,P1284,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),52,21780.968,19325.808,1073.656,0,0,2455.16,136.3977764,19325.808,1363.68,163641.6
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR1,R2872,R2872B,8/08/2024,P1405,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),20,8150.436,6077.196,337.622,0,0,2073.24,115.1799988,6077.196,185.832,22299.84
Pre-sized,Rockit Trading Company Ltd,Moa Apples,,R1626,R1626A,26/07/2024,PE1181,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),69,23760,23760,1320,0,0,0,0,23760,720,86400
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,11/04/2024,P1151,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),28,11298.96,9894.48,549.6929904,0,0,1404.48,78.02666589,9894.48,390.096,46811.52
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,C,R2925,R2925C,7/08/2024,P1399,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),33,14441.012,11787.012,654.834,0,0,2654,147.444443,11787.012,0,0
Orchard pick,Rockit Trading Company Ltd,Crown,B1,R2924,R2924B,17/08/2024,P1411,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),85,35919.06,29047.86,1613.77,0,0,6871.2,381.7333295,29047.86,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879C,10/07/2024,PE1175,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),136,48960,48960,2720,0,0,0,0,48960,19440,3547800
Pre-sized,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,11/06/2024,PE1148,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),125,45000,45000,2500,0,0,0,0,45000,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880B,9/07/2024,P1345,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),202,81193.78,70789.86,3932.77,0,0,10403.92,577.9955498,70789.86,25849.08,4949297.1
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879A,10/04/2024,P1141,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),64,28233.706,24395.106,1355.282563,0,0,3838.6,213.2555534,24395.106,6732.726,1240037.82
Orchard pick,Rockit Trading Company Ltd,Springhill East,37,R2949,R2949T,25/07/2024,P1380,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),74,33533.432,30067.632,1670.424,0,0,3465.8,192.5444425,30067.632,197.964,23755.68
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919C,30/03/2024,P1118,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),133,56613.508,48856.308,2714.237901,0,0,7757.2,430.9555512,48856.308,1805.244,216629.28
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879C,10/07/2024,P1346,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),137,58330.504,51128.424,2840.468,0,0,7202.08,400.1155516,51128.424,19749.78,3606049.8
Pre-sized,Rockit Trading Company Ltd,Rangi2,A,R2901,R2901A,7/08/2024,PE1189,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),15,5400,5400,300,0,0,0,0,5400,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,2/06/2024,PE1144,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),42,15120,15120,840,0,0,0,0,15120,5760,1123200
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919A,4/05/2024,PE1125,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),47,16920,16920,940,0,0,0,0,16920,6480,1263600
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919E,19/06/2024,PE1161,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),88,32040,32040,1780,0,0,0,0,32040,12240,2305800
Pre-sized,Rockit Trading Company Ltd,Longacre Orchard,,R2219,R2219A,26/08/2024,PE1210,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),53,19080,19080,1060,0,0,0,0,19080,0,0
Orchard pick,Rockit Trading Company Ltd,Mana2,B2,R2927,R2927B,19/08/2024,P1412,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),54,23511.3,18341.1,1018.95,0,0,5170.2,287.2333305,18341.1,189,22680
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919E,19/06/2024,P1303,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),90,38034.26,33932.34,1885.13,0,0,4101.92,227.8844422,33932.34,13030.668,2402159.76
Pre-sized,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,25/07/2024,PE1178,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),209,75600,75600,4200,0,0,0,0,75600,1440,172800
Pre-sized,Rockit Trading Company Ltd,Rangi2,C,R2901,R2901C,12/06/2024,PE1152,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),76,27360,27360,1520,0,0,0,0,27360,0,0
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,10/04/2024,P1140,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),53,22725.947,18759.587,1042.198477,0,0,3966.36,220.3533311,18759.587,7446.482,1371603.54
Pre-sized,Rockit Trading Company Ltd,Korokipo Verries,KVR4,R2872,R2872J,7/08/2024,PE1188,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),28,10080,10080,560,0,0,0,0,10080,0,0
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,F2,R2880,R2880F,25/06/2024,PE1166,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),101,37080,37080,2060,0,0,0,0,37080,14040,2656800
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919E,26/08/2024,PE1218,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),2,720,720,40,0,0,0,0,720,0,0
Orchard pick,Rockit Trading Company Ltd,Waipatu,WPR2,R2873,R2873B,6/08/2024,P1393,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),48,20171.252,17511.732,972.874,0,0,2659.52,147.7511096,17511.732,327.96,39355.2
Pre-sized,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,12/04/2024,PE1095,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),25,9000,9000,500,0,0,0,0,9000,0,0
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR5,R2851,R2851I,16/08/2024,PE1196,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),79,28440,28440,1580,0,0,0,0,28440,1080,129600
Pre-sized,Rockit Trading Company Ltd,Crown,B2,R2924,R2924B,26/08/2024,PE1219,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),2,720,720,40,0,0,0,0,720,0,0
Pre-sized,Rockit Trading Company Ltd,Sunvalley Orchard,WEST,R2732,R2732A,27/08/2024,PE1212,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),48,17280,17280,960,0,0,0,0,17280,0,0
Orchard pick,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,4/09/2024,P1452,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),14,5550.452,3640.932,202.274,0,0,1909.52,106.0844434,3640.932,2100.24,409546.8
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR4,R2872,R2872J,7/08/2024,P1397,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),29,12512.388,10297.188,572.066,0,0,2215.2,123.0666654,10297.188,207.936,24952.32
Orchard pick,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021B,26/08/2024,P1429,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),46,20042.928,17027.928,945.996,0,0,3015,167.4999983,17027.928,360.144,43217.28
Orchard pick,Rockit Trading Company Ltd,Mana1,A2,R2926,R2926A,11/06/2024,P1282,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),18,7498.508,6266.268,348.126,0,0,1232.24,68.45777709,6266.268,0,0
Orchard pick,Rockit Trading Company Ltd,Pioneer,,R1580,R1580A,1/06/2024,P1255,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),36,15005.38,13095.9,727.55,0,0,1909.48,106.0822212,13095.9,4842.612,879971.04
Orchard pick,Rockit Trading Company Ltd,Raukawa,,R1232,R1232A,12/06/2024,P1287,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),31,12872.868,11278.188,626.566,0,0,1594.68,88.59333245,11278.188,1050.228,126027.36
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,12/04/2024,PE1093,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),23,8280,8280,460,0,0,0,0,8280,0,0
Orchard pick,Rockit Trading Company Ltd,HAU,,R2776,R2776A,18/06/2024,P1301,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),217,90852.82,78340.5,4352.25,0,0,12512.32,695.1288819,78340.5,29658.456,5683399.02
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,D1,R2879,R2879D,12/04/2024,P1152,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),28,12422.402,10180.482,565.5822567,0,0,2241.92,124.5511099,10180.482,456.558,54786.96
Pre-sized,Rockit Trading Company Ltd,Longlands,C1,R2329,R2329C,11/06/2024,PE1149,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),24,8640,8640,480,0,0,0,0,8640,0,0
Orchard pick,Rockit Trading Company Ltd,Longlands,,R2329,R2329A,1/07/2024,P1331,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),147,59098.032,49840.632,2768.924,0,0,9257.4,514.2999949,49840.632,19310.544,2827241.28
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919C,30/03/2024,PE1078,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),132,47520,47520,2640,0,0,0,0,47520,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,,R2879,R2879B,19/08/2024,P1413,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),39,16592.356,13785.156,765.842,0,0,2807.2,155.955554,13785.156,360.036,43204.32
Pre-sized,Rockit Trading Company Ltd,Rockit Manzana,D2,R2879,R2879D,6/08/2024,PE1185,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),39,14040,14040,780,0,0,0,0,14040,360,43200
Pre-sized,Rockit Trading Company Ltd,Sim2,A1,R2886,R2886A,12/04/2024,PE1098,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),28,10080,10080,560,0,0,0,0,10080,0,0
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919E,26/06/2024,PE1170,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),73,26280,26280,1460,0,0,0,0,26280,10080,1884600
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,C,R2925,R2925C,30/05/2024,P1247,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),74,31324.769,25636.809,1424.267808,0,0,5687.96,315.9977746,25636.809,10095.912,1894064.04
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880B,10/07/2024,PE1174,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),201,72360,72360,4020,0,0,0,0,72360,26280,5043600
Pre-sized,Rockit Trading Company Ltd,Longlands,C1,R2329,R2329C,23/08/2024,PE1206,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),13,4680,4680,260,0,0,0,0,4680,0,0
Orchard pick,Rockit Trading Company Ltd,Crown,B2,R2924,R2924B,31/05/2024,P1250,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),42,18063.112,16438.032,913.224,0,0,1625.08,90.28222132,16438.032,6038.784,1079280.18
Orchard pick,Rockit Trading Company Ltd,Rangi2,B,R2901,R2901B,25/06/2024,P1318,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),93,38596.656,32341.536,1796.752,0,0,6255.12,347.5066632,32341.536,11409.012,2206508.04
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,24/06/2024,PE1163,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),53,19080,19080,1060,0,0,0,0,19080,7200,1323000
Pre-sized,Rockit Trading Company Ltd,Karaua,ROCK1,R2934,R2934F,8/08/2024,PE1192,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),11,3960,3960,220,0,0,0,0,3960,0,0
Pre-sized,Rockit Trading Company Ltd,Steel,C,R1149,R1149C,23/08/2024,PE1203,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),33,11880,11880,660,0,0,0,0,11880,0,0
Orchard pick,Rockit Trading Company Ltd,Steel,C,R1149,R1149C,23/08/2024,P1421,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),22,9971.96,7310.16,406.12,0,0,2661.8,147.8777763,7310.16,0,0
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,5/09/2024,P1456,Labelling,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),9,2197.516,1820.196,101.122,0,0,377.32,20.96222201,1820.196,0,0
Orchard pick,Rockit Trading Company Ltd,Rangi2,A,R2901,R2901A,7/08/2024,P1398,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),17,6871.772,5704.452,316.914,0,0,1167.32,64.85111046,5704.452,0,0
Orchard pick,Rockit Trading Company Ltd,Wharerangi,A1,R1936,R1936A,3/05/2024,P1197,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),61,25274.182,21998.142,1222.115238,0,0,3276.04,182.0022204,21998.142,8096.07,1515724.2
Orchard pick,Rockit Trading Company Ltd,Knight Road Horticulture,A,R2958,R2958D,6/08/2024,P1395,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),34,14296.436,12081.276,671.182,0,0,2215.16,123.0644432,12081.276,962.568,115508.16
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580B,2/06/2024,PE1142,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),49,17640,17640,980,0,0,0,0,17640,6480,1263600
Pre-sized,Rockit Trading Company Ltd,Tubbies Orchard,B,R2943,R2943A,8/08/2024,PE1193,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),16,5760,5760,320,0,0,0,0,5760,0,0
Orchard pick,Rockit Trading Company Ltd,Pioneer,,R1580,R1580B,1/06/2024,P1254,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),57,23580.126,20868.286,1159.349,0,0,2711.84,150.6577763,20868.286,8000.424,1438874.28
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,A1,R2879,R2879A,19/08/2024,P1414,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),12,6047.56,4730.76,262.82,0,0,1316.8,73.15555482,4730.76,174.924,20990.88
Pre-sized,Rockit Trading Company Ltd,Korokipo Verries,KVR3,R2872,R2872H,7/08/2024,PE1187,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),20,7200,7200,400,0,0,0,0,7200,0,0
Pre-sized,Rockit Trading Company Ltd,Raukawa,B4,R1232,R1232B,23/08/2024,PE1207,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),24,8640,8640,480,0,0,0,0,8640,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,C1,R2879,R2879C,24/06/2024,P1315,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),13,5646.492,4857.372,269.854,0,0,789.12,43.83999956,4857.372,1714.32,321921
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,B3,R2879,R2879B,4/09/2024,P1451,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),20,8072.388,5552.028,308.446,0,0,2520.36,140.0199986,5552.028,3451.824,646850.88
Orchard pick,Rockit Trading Company Ltd,Riverside Apples,,R1021,R1021A,26/08/2024,P1430,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),36,15863.336,13476.096,748.672,0,0,2387.24,132.6244431,13476.096,352.116,42253.92
Pre-sized,Rockit Trading Company Ltd,HAU,,R2776,R2776A,19/06/2024,PE1160,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),220,79200,79200,4400,0,0,0,0,79200,30240,5815800
Pre-sized,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880A,8/07/2024,PE1173,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),236,84960,84960,4720,0,0,0,0,84960,30960,5713200
Pre-sized,Rockit Trading Company Ltd,Steel,A,R1149,R1149A,23/08/2024,PE1202,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),45,16200,16200,900,0,0,0,0,16200,0,0
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,11/04/2024,P1149,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),21,9579.268,8449.308,469.4056904,0,0,1129.96,62.77555493,8449.308,390.096,46811.52
Pre-sized,Rockit Trading Company Ltd,Mana1,A2,R2926,R2926A,11/06/2024,PE1151,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),16,5760,5760,320,0,0,0,0,5760,0,0
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,7/08/2024,P1401,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),18,7745.592,5830.632,323.924,0,0,1914.96,106.3866656,5830.632,345.024,41402.88
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,D1,R2879,R2879D,31/05/2024,P1252,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),25,10887.67,9378.43,521.024,0,0,1509.24,83.84666583,9378.43,3697.2,705240
Orchard pick,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,31/05/2024,P1251,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),92,38353.129,34159.849,1897.769474,0,0,4193.28,232.9599977,34159.849,13292.568,2539530.36
Pre-sized,Rockit Trading Company Ltd,Te Aute Road North,,R1233,R1233A,4/05/2024,PE1126,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),26,9360,9360,520,0,0,0,0,9360,5400,1053000
Orchard pick,Rockit Trading Company Ltd,Moa Apples,,R1626,R1626A,25/07/2024,P1382,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),61,27727.98,24736.5,1374.25,0,0,2991.48,166.1933317,24736.5,856.332,102759.84
Pre-sized,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,8/08/2024,PE1191,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),15,5400,5400,300,0,0,0,0,5400,360,43200
Orchard pick,Rockit Trading Company Ltd,Paki Paki,PPRK1,R2786,R2786A,24/06/2024,P1316,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),30,12048.328,9793.448,544.0801286,0,0,2254.88,125.2711099,9793.448,2887.272,556492.14
Pre-sized,Rockit Trading Company Ltd,Steel,B,R1149,R1149B,5/09/2024,PE1228,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),11,3960,3960,220,0,0,0,0,3960,360,70200
Pre-sized,Rockit Trading Company Ltd,Valley,B1,R2919,R2919B,12/06/2024,PE1157,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),12,4320,4320,240,0,0,0,0,4320,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,A1,R2919,R2919A,2/06/2024,P1257,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),32,13405.828,11453.148,636.286,0,0,1952.68,108.4822211,11453.148,4389.48,789269.4
Pre-sized,Rockit Trading Company Ltd,Sunvalley Orchard,NORTH,R2732,R2732A,26/07/2024,PE1182,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),251,101880,101880,5660,0,0,0,0,101880,5040,604800
Orchard pick,Rockit Trading Company Ltd,Tubbies Orchard,B,R2943,R2943A,8/08/2024,P1403,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),19,8285.412,7136.532,396.474,0,0,1148.88,63.82666603,7136.532,613.008,73560.96
Pre-sized,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,12/06/2024,PE1153,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),32,11520,11520,640,0,0,0,0,11520,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919C,31/05/2024,P1253,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),108,44630.744,39154.824,2175.268,0,0,5475.92,304.2177747,39154.824,14767.056,2708590.32
,,,,,,,,,,,,,,,,,,,,,,
