BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Sunvalley Orchard,NORTH,R2732,R2732A,25/07/2024,P1383,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),241,103211.308,89480.628,4971.146,0,0,13730.68,762.8155479,89480.628,5737.752,688530.24
Pre-sized,Rockit Trading Company Ltd,Waipatu,WPR2,R2873,R2873B,6/08/2024,PE1184,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),48,17280,17280,960,0,0,0,0,17280,360,43200
Orchard pick,Rockit Trading Company Ltd,Steel,C,R1149,R1149C,23/08/2024,P1423,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),17,7922.128,5919.048,328.836,0,0,2003.08,111.2822211,5919.048,237.204,28464.48
Pre-sized,Rockit Trading Company Ltd,Valley,F2,R2919,R2919F,5/09/2024,PE1230,Labelling,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),1,360,360,20,0,0,0,0,360,0,0
Pre-sized,Rockit Trading Company Ltd,Rangi2,B,R2901,R2901B,26/06/2024,PE1168,Done,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),89,31680,31680,1760,0,0,0,0,31680,11160,2176200
Pre-sized,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,26/08/2024,PE1215,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),2,720,720,40,0,0,0,0,720,0,0
Pre-sized,Rockit Trading Company Ltd,Mana1,A2,R2926,R2926A,26/08/2024,PE1216,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),1,360,360,20,0,0,0,0,360,0,0
Orchard pick,Rockit Trading Company Ltd,Sim1,C1,R2900,R2900C,11/04/2024,P1144,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),16,6632.126,5443.806,302.4332435,0,0,1188.32,66.01777712,5443.806,533.19,63982.8
Orchard pick,Rockit Trading Company Ltd,Pioneer,C1,R1580,R1580C,2/06/2024,P1258,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),52,21136.922,18428.962,1023.831,0,0,2707.96,150.4422207,18428.962,6851.916,1250838.72
Orchard pick,Rockit Trading Company Ltd,HAU,,R2776,R2776A,13/05/2024,P1221,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),159,67887.672,58854.672,3269.704,0,0,9033,501.8333283,58854.672,22230.936,4241504.52
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,11/04/2024,P1146,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),21,9004.442,8432.442,468.4686965,0,0,572,31.77777746,8432.442,382.41,45889.2
Orchard pick,Rockit Trading Company Ltd,HAU,,R2776,R2776B,1/07/2024,P1332,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),369,159274.852,135518.652,7528.814,0,0,23756.2,1319.788876,135518.652,50199.156,9353976.12
Pre-sized,Rockit Trading Company Ltd,Sim1,B3,R2900,R2900B,12/04/2024,PE1090,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),35,12600,12600,700,0,0,0,0,12600,0,0
Orchard pick,Rockit Trading Company Ltd,Longacre Orchard,B1,R2219,R2219B,12/06/2024,P1288,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),15,6797.312,5972.112,331.784,0,0,825.2,45.84444399,5972.112,108.684,13042.08
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,B,R2925,R2925B,24/06/2024,P1313,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),57,25259.348,21036.588,1167.588,0,0,4222.76,234.5977754,21036.588,7302.276,1345182.12
Orchard pick,Rockit Trading Company Ltd,Dartmoor,DR7,R2851,R2851M,10/04/2024,P1142,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),59,26221.654,23982.414,1332.355264,0,0,2239.24,124.402221,23982.414,927.99,111358.8
Pre-sized,Rockit Trading Company Ltd,Knight Road Horticulture,A,R2958,R2958D,7/08/2024,PE1186,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),33,11880,11880,660,0,0,0,0,11880,720,86400
Orchard pick,Rockit Trading Company Ltd,Home Block,A,R1230,R1230A,30/05/2024,P1248,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),77,32112.178,28409.378,1578.299564,0,0,3702.8,205.7111091,28409.378,10372.068,2005977.96
