OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety code,Variety,Strain of,Produce,Root stock,Growing system,Row spacing,Tree spacing,Planted,Grafted,BioGro year,First season,Last season,Notes,Tags (planting),# trees,# rows,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
IND - Cronien Bun Orchard,R2936,,Independent Sector,CRO-BLOOM,996,Rockit,,Apples,M9,,,,2020,,,2023,,,,6681,0,2.41,Conventional,A,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2019,,,2021,,A,,4235,71,1.865,Conventional,A1,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN A2,996,Rockit,,Apples,M.9,Spindle,3,1.4,2019,,,2021,,B,,6500,85,2.851,Conventional,A2,A,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2019,,,2021,,C,,4223,62,1.83792,Conventional,B1,B,,
Crown,R2924,Shane Crawford,Crownthorpe Sector,CROWN B2,996,Rockit,,Apples,M.9,Spindle,3,1.4,2020,,,2022,,D,,3718,69,1.661,Conventional,B2,B,,
IND - Crystall Road,R1811,,Independent Sector,CRY-ROCK,996,Rockit,,Apples,CG202,,2.8,1.5,2021,,,2023,,,,11874,0,4.987,Conventional,ROCK,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 1,996,Rockit,,Apples,CG202,,3.5,1.5,2016,,,2022,,grafted 2018,,734,1,0.39,Conventional,A1,A,,
IND - Cypress,R2710,,Independent Sector,CYP-A1 2,996,Rockit,,Apples,CG202,,1.5,3.5,2019,,,2021,,,,819,0,0.43,Conventional,A1,A,,Non-production
IND - Cypress,R2710,,Independent Sector,CYP-A1 3,996,Rockit,,Apples,CG202,,3.5,1.5,2021,,,2021,,,,2080,0,1.09,Conventional,A1,A,,Non-production
IND - Cypress,R2710,,Independent Sector,CYP-A2,996,Rockit,,Apples,M116,,3.5,2,2014,,,2021,,,,1235,0,0.86,Conventional,A2,A,,Non-production
IND - Cypress,R2710,,Independent Sector,CYP-A3,996,Rockit,,Apples,M9,,3.5,1.5,2014,,,2021,,,,1826,0,0.96,Conventional,A3,A,,Non-production
IND - Cypress,R2710,,Independent Sector,CYP-C1 1,996,Rockit,,Apples,CG202,,3.5,1.5,2015,,,2022,,grafted 2019,,4949,1,2.6,Conventional,C1,C,,
IND - Cypress,R2710,,Independent Sector,CYP-C1 2,996,Rockit,,Apples,CG202,,3.5,1.5,2016,,,2022,,grafted 2019,,1553,1,0.82,Conventional,C1,C,,Non-production
IND - Dartmoor,R2851,,Independent Sector,DAR-DR1,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,7273,1,3,Conventional,DR1,A,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR2,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,8466,1,3.46,Conventional,DR2,C,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR3,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,8040,1,3.32,Conventional,DR3,E,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR4,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,5955,1,2.46,Conventional,DR4,G,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR5,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,3501,1,1.44,Conventional,DR5,I,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR6,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,4574,1,1.88,Conventional,DR6,K,,
IND - Dartmoor,R2851,,Independent Sector,DAR-DR7,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,4163,1,1.71,Conventional,DR7,M,,
Dartmoor,R2150,,Independent Sector,DTM A,996,Rockit,,Apples,M.9,Spindle,3,1.4,2016,,,2021,,,Non-production,0,54,1.8627,Conventional,A,A,,Non-production
Dartmoor,R2150,,Independent Sector,DTM B,996,Rockit,,Apples,M.9,Spindle,3,1.4,2016,,,2021,,,Non-production,0,20,0.51366,Conventional,B,A,,Non-production
Dartmoor,R2150,,Independent Sector,DTM C,996,Rockit,,Apples,M.9,Spindle,3,1.4,2016,,,2021,,,Non-production,0,42,1.94628,Conventional,C,B,,Non-production
Dartmoor,R2150,,Independent Sector,DTM D,996,Rockit,,Apples,M.9,Spindle,3,1.4,2016,,,2021,,,Non-production,0,42,1.9404,Conventional,D,B,,Non-production
IND - Global Orchard,R2124,,Independent Sector,GLO-A,996,Rockit,,Apples,MM.106,,4,1.4,2013,,,2022,,graft,,5230,1,2.9,Conventional,A,A,,
IND - Global Orchard,R2124,,Independent Sector,GLO-B,996,Rockit,,Apples,MM.106,,4,2,2013,,,2022,,grafts,,2340,1,1.87,Conventional,B,B,,
IND - Global Orchard,R2124,,Independent Sector,GLO-C,996,Rockit,,Apples,MM.106,,4,2,2013,,,2022,,graft,,1800,1,1.44,Conventional,C,C,,Non-production
IND - Grasmere Orchard,R2895,,Independent Sector,GRA E,996,Rockit,,Apples,CG202,,3.6,2,2022,,,2023,,,,644,0,0.463,Conventional,C,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GK,996,Rockit,,Apples,M793,,4.5,2.5,2006,,,2023,,,,521,0,0.57,Conventional,K,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GMGN,996,Rockit,,Apples,M116,,4,2,2020,,,2023,,,,328,0,0.26,Conventional,M,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GMGN2,996,Rockit,,Apples,M116,,4,2,2020,,,2023,,,,333,0,0.27,Conventional,M,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA GT,996,Rockit,,Apples,CG202,,4,1.5,2022,,,2023,,,,938,0,0.56,Conventional,T,A,,
IND - Grasmere Orchard,R2895,,Independent Sector,GRA-GCGE  ,996,Rockit,,Apples,CG202,,3.8,1.8,2022,,,2023,,,,521,0,0.356,Conventional,C,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2015,,,2021,,,,4416,47,1.886,Conventional,A1,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU A2,996,Rockit,,Apples,M.9,Spindle,3,1.4,2015,,,2021,,,,5998,47,2.61,Conventional,A2,A,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2015,,,2021,,,,3909,49,1.691,Conventional,B1,B,,
Haumoana,R2776,Milap Sondh,Hastings Sector,HAU B2,996,Rockit,,Apples,M.9,Spindle,3,1.4,2015,,,2021,, ,,4865,45,2.137,Conventional,B2,B,,
Lowry Heretaunga,R2946,Shane Crawford,Crownthorpe Sector,HERE A1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2020,,,2023,,,,3806,56,1.734,Conventional,A1,A,,
Lowry Heretaunga,R2946,Shane Crawford,Crownthorpe Sector,HERE B1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2020,,,2023,,,,8465,63,3.799,Conventional,B1,B,,
Lowry Heretaunga,R2946,Shane Crawford,Crownthorpe Sector,HERE C1,996,Rockit,,Apples,M.9,Spindle,3,1.4,2020,,,2023,,,,7590,54,3.357,Conventional,C1,C,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME A,996,Rockit,,Apples,CG202,FOPS,2.2,3,2020,,,2021,,,,4709,150,3.219,Conventional,A,A,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME B,996,Rockit,,Apples,CG202,FOPS,2.2,3,2020,,,2021,,,,4648,133,3.157,Conventional,B,B,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME C,996,Rockit,,Apples,M.9,Spindle,3.5,1.4,2012,,,2021,,,,6163,36,3.118,Conventional,C,C,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D1,996,Rockit,,Apples,M.9,FOPS,2.2,2.4,2020,,,2021,,D1,,1259,25,0.686,Conventional,D1,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D2,996,Rockit,,Apples,M.9,Spindle,3,1.4,2015,,,2021,,D2,,1425,16,0.592,Conventional,D2,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME D3,996,Rockit,,Apples,CG202,FOPS,2.2,3,2020,,,2021,,D3,,3554,88,2.382,Conventional,D3,D,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E1-7,996,Rockit,,Apples,M.9/M.26,Spindle,3.5,1.5,2012,,,2021,,E1 - E7,,3953,58,2.631,Conventional,E1-7,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME E8,996,Rockit,,Apples,M.793,Spindle,5,1.4,2012,,,2021,,E8,,448,7,0.32,Conventional,E8,E,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F1,996,Rockit,,Apples,M.9,Spindle,3.5,1.4,2015,,,2021,,F1,,977,7,0.47,Conventional,F1,F,,
Home Block,R1230,Todd Blackman,Havelock Sector,HME F2,996,Rockit,,Apples,M.9,FOPS,2.2,2.4,2020,,,2021,,F2,,3595,44,1.942,Conventional,F2,F,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-A3,996,Rockit,,Apples,MM.106,,5,2.5,1998,,,2022,,grafted 2019,,570,1,0.7125,Conventional,A3,A,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B1,996,Rockit,,Apples,M.26,,4.1,1.8,2005,,,2022,,"Blk 11,15,17 grafted 2013",,1543,1,1.11,Conventional,B1,B,,
