BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Springhill East,32,R2949,R2949O,23/07/2024,P1377,Final report sent,Smartfresh Air,130,55879.108,50382.108,2799.006,0,0,5497,305.3888858,50382.108,634.716,76165.92
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919F,10/10/2024,P1564,Final report sent,Smartfresh CA,126,53516.04,44625,2479.166664,0,0,8891.04,493.9466617,44625,19638.048,3346289.58
Pre-sized,Rockit Trading Company Ltd,Colaghty Orchard,A,R2929,R2929A,26/08/2024,PE1214,Final report sent,Smartfresh Air,7,2520,2520,140,0,0,0,0,2520,0,0
Pre-sized,Rockit Trading Company Ltd,Pioneer,,R1580,R1580C,26/08/2024,PE1213,Final report sent,Smartfresh Air,5,1800,1800,100,0,0,0,0,1800,0,0
Pre-sized,Rockit Trading Company Ltd,Parkhill Orchard,PHRK,R2841,R2841A,25/09/2024,PE1275,Final report sent,Smartfresh CA,28,10080,10080,560,0,0,0,0,10080,0,0
Pre-sized,Rockit Trading Company Ltd,Valley,,R2919,R2919C,10/06/2024,PE1141,Final report sent,Smartfresh Air,86,30960,30960,1720,0,0,0,0,30960,13680,2586600
Pre-sized,Rockit Trading Company Ltd,Rockit STOCK ROADS,C1,R2534,R2534C,12/09/2024,PE1252,Final report sent,Smartfresh CA,74,26640,26640,1480,0,0,0,0,26640,0,0
Pre-sized,Rockit Trading Company Ltd,Steel,C,R1149,R1149C,18/09/2024,PE1272,Final report sent,Smartfresh CA,13,4680,4680,260,0,0,0,0,4680,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919A,3/05/2024,P1200,Final report sent,Smartfresh Air,54,22526.518,19592.958,1088.495,0,0,2933.56,162.9755539,19592.958,7471.11,1362350.7
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,B2,R2880,R2880B,27/09/2024,P1521,Final report sent,Smartfresh CA,15,6312.944,5255.784,291.988,0,0,1057.16,58.73111052,5255.784,0,0
Pre-sized,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,26/07/2024,PE1179,Final report sent,Smartfresh Air,90,32400,32400,1800,0,0,0,0,32400,720,86400
